Language,original
str_cfgvehicles_drybag_colorbase0,Drybag Backpack
str_cfgvehicles_drybag_blue0,"$UNT$A blue bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag."
str_cfgvehicles_drybag_black0,"$UNT$A black bag which seals in a watertight manner. Dry bags are often used in kayaking, canoeing, rafting, and other outdoor activities where sensitive items would otherwise get wet as well as extreme sports such as skiing and snowboarding. Construction of waterproofed fabric which is formed to create an impermeable, water-ingress protected bag."
str_cfgvehicles_coyotebag_green0,$UNT$Large green military high capacity backpack.
str_cfgvehicles_coyotebag_colorbase1,"Highly modular backpack, made from heavy-duty fabric. Versatile, great for short deployments."
str_cfgvehicles_coyotebag_colorbase0,Tactical Backpack
str_cfgvehicles_coyotebag_brown0,$UNT$Large brown military high capacity backpack.
str_cfgvehicles_courierbag1,Simple courier bag made from rope and burlap sack. Discreet yet effective.
str_cfgvehicles_courierbag0,Burlap Courier Bag
str_cfgvehicles_childbag_red0,"$UNT$A cute small red children's school backpack. Not very practical in terms of carrying space, but makes you the star of the class."
str_cfgvehicles_childbag_green0,"$UNT$A cute small green children's school backpack. Not very practical in terms of carrying space, but makes you the star of the class."
str_cfgvehicles_childbag_colorbase1,"A child backpack. Not very practical in terms of carrying space, but helps keeping a low profile."
str_cfgvehicles_childbag_colorbase0,School Backpack
str_cfgvehicles_childbag_blue0,"$UNT$A cute small blue children's school backpack. Not very practical in terms of carrying space, but makes you the star of the class."
str_cfgvehicles_ghillietop_woodland1,$UNT$Woodland Ghillie Top
str_cfgvehicles_bagtortillaabove1,"$UNT$Medium sized assault backpack, it has one large chamber, two side pockets and two back pockets, wide shoulder straps with quick release, Sturdy and comfortable main belt, it's made of waterproof cordura."
str_cfgvehicles_ghillietop_tan1,$UNT$Tan Ghillie Top
str_cfgvehicles_bagtortillaabove0,$UNT$SPOSN Tortilla Backpack
str_cfgvehicles_ghillietop_mossy1,$UNT$Mossy Ghillie Top
str_cfgvehicles_assaultbag_ttsko0,$UNT$Standard field ttsko backpack issued to Chernarussian military personnel.
str_cfgvehicles_assaultbag_green0,$UNT$Standard field green backpack issued to Chernarussian military personnel.
str_cfgvehicles_assaultbag_colorbase1,Compact backpack with enough capacity for necessary gear. Convenient for airborne operations.
str_cfgvehicles_ghilliesuit_woodland1,$UNT$Woodland Ghillie Suit
str_cfgvehicles_assaultbag_colorbase0,Assault Backpack
str_cfgvehicles_ghilliesuit_tan1,$UNT$Tan Ghillie Suit
str_cfgvehicles_assaultbag_black0,$UNT$Standard field black backpack issued to Chernarussian military personnel.
str_cfgvehicles_ghilliesuit_mossy1,$UNT$Mossy Ghillie Suit
str_cfgvehicles_alicebag_green0,$UNT$Green lightweight military backpack with a lot of pockets.
str_cfgvehicles_alicebag_colorbase1,This backpack with external frame offers huge carrying capacity. Also it effectively doubles the silhouette of the bearer.
str_cfgvehicles_alicebag_colorbase0,Field Backpack
str_cfgvehicles_ghilliebushrag_woodland1,$UNT$Woodland Ghillie Bushrag
str_cfgvehicles_alicebag_camo0,$UNT$Camo lightweight military backpack with a lot of pockets.
str_cfgvehicles_ghilliebushrag_tan1,$UNT$Tan Ghillie Bushrag
str_cfgvehicles_alicebag_black0,$UNT$Black lightweight military backpack with a lot of pockets.
str_cfgvehicles_ghilliebushrag_mossy1,$UNT$Mossy Ghillie Bushrag
str_cfgvehicles_ghilliebushrag_colorbase1,Camouflage shrug intended to break up the silhouette of wearer's shoulders. Makes it impossible to wear a backpack.
str_cfgvehicles_ghilliesuit_colorbase1,Camouflage suit used to completely conceal the wearer in a natural environment. Makes it impossible to wear a backpack.
str_cfgvehicles_ghillietop_colorbase1,Camouflage cloak intended to break the silhouette of wearer's upper body. Makes it impossible to wear a backpack.
str_survivorm_taiki0,"$UNT$Taiki, Male"
str_survivorm_seth0,"$UNT$Seth, Male"
str_survivorm_rolf0,"$UNT$Rolf, Male"
str_survivorm_quinn0,"$UNT$Quinn, Male"
str_survivorm_peter0,"$UNT$Peter, Male"
str_survivorm_oliver0,"$UNT$Oliver, Male"
str_survivorm_niki0,"$UNT$Niki, Male"
str_survivorm_mireknobeard0,"$UNT$Mirek, Male"
str_survivorm_mirekdecayedlighterdark0,"$UNT$Mirek, Male"
str_survivorm_mirekdecayeddark0,"$UNT$Mirek, Male"
str_survivorm_mirekdecayed0,"$UNT$Mirek, Male"
str_survivorm_mirek0,"$UNT$Mirek, Male"
str_survivorm_matt0,"$UNT$Matt, Male"
str_survivorm_manua0,"$UNT$Manua, Male"
str_survivorm_lewis0,"$UNT$Lewis, Male"
str_survivorm_latino0,"$UNT$Latino, Male"
str_survivorm_kaito0,"$UNT$Kaito, Male"
str_survivorm_jose0,"$UNT$Jose, Male"
str_survivorm_indian0,"$UNT$Indian, Male"
str_survivorm_indar0,"$UNT$Indar, Male"
str_survivorm_hassan0,"$UNT$Hassan, Male"
str_survivorm_guo0,"$UNT$Guo, Male"
str_survivorm_francis0,"$UNT$Francis, Male"
str_survivorm_elias0,"$UNT$Elias, Male"
str_survivorm_denis0,"$UNT$Denis, Male"
str_survivorm_dean0,$UNT$Dean-o
str_survivorm_cyril0,"$UNT$Cyril, Male"
str_survivorm_caucasian0,"$UNT$Caucasian, Male"
str_survivorm_boris0,"$UNT$Boris, Male"
str_survivorm_asian0,"$UNT$Asian, Male"
str_survivorm_african0,"$UNT$African, Male"
str_survivorf_naomi0,"$UNT$Naomi, Female"
str_survivorf_maria0,"$UNT$Maria, Female"
str_survivorf_linda0,"$UNT$Linda, Female"
str_survivorf_latino0,"$UNT$Latino, Female"
str_survivorf_keiko0,"$UNT$Keiko, Female"
str_survivorf_kamila0,"$UNT$Kamila, Female"
str_survivorf_judy0,"$UNT$Judy, Female"
str_survivorf_jana0,"$UNT$Jana, Female"
str_survivorf_irena0,"$UNT$Irena, Female"
str_survivorf_indian0,"$UNT$Indian, Female"
str_survivorf_henriet0,"$UNT$Henriet, Female"
str_survivorf_helga0,"$UNT$Helga, Female"
str_survivorf_gabi0,"$UNT$Gabi, Female"
str_survivorf_frida0,"$UNT$Frida, Female"
str_survivorf_eva0,"$UNT$Eva, Female"
str_survivorf_caucasian0,"$UNT$Caucasian, Female"
str_survivorf_asian0,"$UNT$Asian, Female"
str_survivorf_african0,"$UNT$African, Female"
str_cfgvehicles_infected0,Infected
str_cfgvehicles_infected1,"A human body, displaying signs of an unknown infection."
str_cfgvehicles_infectedF0,Female Infected
str_cfgvehicles_infectedF1,"A female body, displaying signs of an unknown infection."
str_cfgvehicles_infectedM0,"Male Infected
"
str_cfgvehicles_infectedM1,"A male body, displaying signs of an unknown infection."
str_cfgvehicles_survivor0,Survivor
str_cfgvehicles_survivor1,A human body. It shows no signs of the infection.
str_cfgvehicles_survivorF0,Female Survivor
str_cfgvehicles_survivorF1,A female body. It shows no signs of the infection.
str_cfgvehicles_survivorM0,Male Survivor
str_cfgvehicles_survivorM1,A male body. It shows no signs of the infection.
str_malehandsworkinggloves0,$UNT$Working gloves
str_cfgvehicles_thinframesglasses1,Made from plastic with a stylish slim design. Not really protecting or helping in any way.
str_cfgvehicles_thinframesglasses0,Slim Glasses
str_cfgvehicles_thickframesglasses1,Rectangular thick frame with a retro design inspiration in mind. Not really protecting or helping in any way.
str_cfgvehicles_thickframesglasses0,Classic Glasses
str_cfgvehicles_designerglasses1,Made from plastic with a fashionable wrap-around design. Protects the eyes from the sun.
str_cfgvehicles_designerglasses0,Casual Sunglasses
str_cfgvehicles_aviatorglasses0,Aviator Sunglasses
str_cfgvehicles_aviatorglasses1,Oversized teardrop-shaped lenses and a thin metal frame. Protects the eyes from the sun.
str_cfgvehicles_nvgheadstrap0,Night Vision Goggles
str_cfgvehicles_nvgheadstrap1,A NVG headset. It's quite comfortable to wear. Goggles require a battery to function.
str_cfgvehicles_sportglasses1,Highly functional design that wraps around the head. Protects the eyes from the sun.
str_cfgvehicles_sportglasses0,Athletic Sunglasses
str_cfgvehicles_tacticalgoggles0,Tactical Goggles
str_cfgvehicles_tacticalgoggles1,"Designed for the military, with eye protection in mind. Elastic headband keeps them from sliding off."
str_cfgvehicles_workinggloves_yellow0,$UNT$Yellow coloured working gloves able to withstand rough handling.
str_cfgvehicles_workinggloves_colorbase1,"Working gloves made from hard cloth, able to withstand rough handling while providing protection."
str_cfgvehicles_workinggloves_colorbase0,Working Gloves
str_cfgvehicles_workinggloves_brown0,$UNT$Brown coloured working gloves able to withstand rough handling.
str_cfgvehicles_workinggloves_black0,$UNT$Black coloured working gloves able to withstand rough handling.
str_cfgvehicles_workinggloves_beige0,$UNT$Beige coloured working gloves able to withstand rough handling.
str_cfgvehicles_tacticalgloves_green0,"$UNT$Green coloured tactical gloves are designed for providing protection to hands, but still maintain the dexterity."
str_cfgvehicles_tacticalgloves_colorbase1,"While providing protection to hands, tactical gloves were made to maintain dexterity as well."
str_cfgvehicles_tacticalgloves_colorbase0,Tactical Gloves
str_cfgvehicles_tacticalgloves_black0,"$UNT$Black coloured tactical gloves are designed for providing protection to hands, but still maintain the dexterity."
str_cfgvehicles_tacticalgloves_beige0,"$UNT$Beige coloured tactical gloves are designed for providing protection to hands, but still maintain the dexterity."
str_cfgvehicles_nbcglovesgray0,$UNT$Gray NBC Gloves
str_cfgvehicles_nbcglovesbase1,"As part of 'Nuclear, Biological, Chemical' suit, gloves are very important for successfully traversing contaminated areas."
str_cfgvehicles_nbcglovesbase0,NBC Gloves
str_cfgvehicles_leathergloves_colorbase0,Leather Gloves
str_cfgvehicles_leathergloves_colorbase1,"Hand-crafted leather gloves. With some practice, even fine manipulation tasks can be performed with these."
str_cfgvehicles_omnogloves_colorbase0,Combat Gloves
str_cfgvehicles_omnogloves_colorbase1,"Designed for military use, but quickly found their way to the civilian market. They offer decent protection from the elements."
str_cfgvehicles_surgicalgloves_colorbase0,Surgical Gloves
str_cfgvehicles_surgicalgloves_colorbase1,"Latex surgical gloves. Originally in sterile package, not suitable for manual labor but protect from infectious agents."
str_universal_bandana_redpattern_staging_stage_31,$UNT$A red pattern coloured bandana tied to a improvised hat. Can be untied and used for other things.
str_universal_bandana_redpattern_staging_stage_30,$UNT$Bandana
str_universal_bandana_redpattern_staging_stage_21,$UNT$RedPattern face mask made out of bandana. Don't mess with us cuz we're in the wild wild west.
str_universal_bandana_redpattern_staging_stage_20,$UNT$Bandana Mask
str_universal_bandana_redpattern_staging_stage_11,$UNT$A useful bandana that could be tied to mask or head cover.
str_universal_bandana_redpattern_staging_stage_10,$UNT$Untied Bandana
str_universal_bandana_redpattern1,$UNT$A useful red pattern bandana that could be tied to mask or head cover.
str_universal_bandana_redpattern0,$UNT$Untied Bandana
str_cfgvehicles_zsh3pilothelmet_green0,"$UNT$The green painted ZSh-3 Pilot Helmet was first introduced in the early 1960's and is used in virtually every type of Soviet-made aircraft - from the MiG-17 to the MiG-29, from the Il-76 cargo plane to the Mi-24 Attack Helicopter.  This is the most widely used flight helmet in the world."
str_cfgvehicles_zsh3pilothelmet_black0,"$UNT$The black painted ZSh-3 Pilot Helmet was first introduced in the early 1960's and is used in virtually every type of Soviet-made aircraft - from the MiG-17 to the MiG-29, from the Il-76 cargo plane to the Mi-24 Attack Helicopter.  This is the most widely used flight helmet in the world."
str_cfgvehicles_zsh3pilothelmet1,A widely used helmet designed to provide protection to pilots. Includes large visor.
str_cfgvehicles_zsh3pilothelmet0,Flight Helmet
str_cfgvehicles_zmijovkacap_red0,"$UNT$A red coloured traditional Chernarussian headwear suitable for chilly or windy weather. The name Zmijovka relates to the viper-like pattern, as 'zmije' means viper."
str_cfgvehicles_zmijovkacap_green0,"$UNT$A green coloured traditional Chernarussian headwear suitable for chilly or windy weather. The name Zmijovka relates to the viper-like pattern, as 'zmije' means viper."
str_cfgvehicles_zmijovkacap_colorbase1,"Traditional headwear, suitable for chilly or windy weather. The name comes from the viper-like pattern."
str_cfgvehicles_zmijovkacap_colorbase0,Zmiovka
str_cfgvehicles_zmijovkacap_brown0,"$UNT$A brown coloured traditional Chernarussian headwear suitable for chilly or windy weather. The name Zmijovka relates to the viper-like pattern, as 'zmije' means viper."
str_cfgvehicles_zmijovkacap_blue0,"$UNT$A blue coloured traditional Chernarussian headwear suitable for chilly or windy weather. The name Zmijovka relates to the viper-like pattern, as 'zmije' means viper."
str_cfgvehicles_zmijovkacap_black0,"$UNT$A black coloured traditional Chernarussian headwear suitable for chilly or windy weather. The name Zmijovka relates to the viper-like pattern, as 'zmije' means viper."
str_cfgvehicles_weldingmask1,"Protect the eyes, face and neck from ultraviolet light, sparks and heat while welding."
str_cfgvehicles_weldingmask0,Welding Mask
str_cfgvehicles_ushanka_green0,$UNT$A classic green coloured Russian hat made from black dyed animal or artificial fur with ear flaps to protect against the cold. It is also known as a trooper or trapper's hat.
str_cfgvehicles_ushanka_colorbase1,A classic hat made from dyed animal fur with ear flaps to protect against the cold.
str_cfgvehicles_ushanka_colorbase0,Ushanka
str_cfgvehicles_ushanka_blue0,$UNT$A classic blue coloured Russian hat made from black dyed animal or artificial fur with ear flaps to protect against the cold. It is also known as a trooper or trapper's hat.
str_cfgvehicles_ushanka_black0,$UNT$A classic black coloured Russian hat made from black dyed animal or artificial fur with ear flaps to protect against the cold. It is also known as a trooper or trapper's hat.
str_cfgvehicles_tankerhelmet1,"Used by tank crews. Bumpers provide head protection inside a jolting vehicle, but little else."
str_cfgvehicles_tankerhelmet0,Tanker Helmet
str_cfgvehicles_ssh68helmet1,"Helmet used during combat situations. Provides head protection from impact, shock, and shrapnels."
str_cfgvehicles_ssh68helmet0,Combat Helmet
str_cfgvehicles_skatehelmet_red0,"$UNT$Red coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight."
str_cfgvehicles_skatehelmet_green0,"$UNT$Green coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight."
str_cfgvehicles_skatehelmet_gray0,"$UNT$Grey coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight."
str_cfgvehicles_skatehelmet_colorbase1,"A durable skate helmet. Absorbs impacts nicely, but does not offer much protection from cold or rain."
str_cfgvehicles_skatehelmet_colorbase0,Skate Helmet
str_cfgvehicles_skatehelmet_blue0,"$UNT$Blue coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight."
str_cfgvehicles_skatehelmet_black0,"$UNT$Black coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight."
str_cfgvehicles_radarcap_red0,"$UNT$A red coloured warm hat that covers most of the head, including ears and forehead."
str_cfgvehicles_radarcap_green0,"$UNT$A green coloured warm hat that covers most of the head, including ears and forehead."
str_cfgvehicles_radarcap_colorbase1,"A warm hat that covers most of the head, including ears and forehead."
str_cfgvehicles_radarcap_colorbase0,Radar Cap
str_cfgvehicles_radarcap_brown0,"$UNT$A brown coloured warm hat that covers most of the head, including ears and forehead."
str_cfgvehicles_radarcap_blue0,"$UNT$A blue coloured warm hat that covers most of the head, including ears and forehead."
str_cfgvehicles_radarcap_black0,"$UNT$A black coloured warm hat that covers most of the head, including ears and forehead."
str_cfgvehicles_prisonercap1,Standard issue prisoner cap. Goes well with full prisoner uniform.
str_cfgvehicles_prisonercap0,Prisoner Cap
str_cfgvehicles_policecap1,A peaked police cap is worn as part of a police uniform.
str_cfgvehicles_policecap0,Police Cap
str_cfgvehicles_pilotkacap1,Classic foldable side cap. Also used by various youth organizations.
str_cfgvehicles_pilotkacap0,Pilotka
